6,56343,-0.12,-0.79,9.61,0.05,0.00,-0.15,-0.18,-0.79,9.77
7,56403,-0.13,-0.79,9.64,0.04,0.00,-0.12,-0.18,-0.79,9.77
6,56465,-0.14,-0.77,9.64,0.04,0.01,-0.12,-0.18,-0.79,9.77
6,56527,-0.15,-0.76,9.64,0.04,0.00,-0.13,-0.18,-0.79,9.77
6,56589,-0.15,-0.80,9.63,0.04,-0.02,-0.12,-0.18,-0.79,9.77
5,56651,-0.14,-0.79,9.66,0.04,0.00,-0.10,-0.18,-0.79,9.77
5,56713,-0.13,-0.79,9.63,0.04,0.00,-0.13,-0.18,-0.79,9.77
5,56774,-0.13,-0.79,9.65,0.04,0.00,-0.11,-0.18,-0.79,9.77
6,56835,-0.12,-0.79,9.60,0.06,0.00,-0.16,-0.18,-0.79,9.77
6,56897,-0.14,-0.79,9.62,0.03,0.00,-0.14,-0.18,-0.79,9.77
6,56958,-0.15,-0.79,9.62,0.04,0.02,-0.12,-0.18,-0.79,9.77
7,57019,-0.13,-0.79,9.65,0.03,0.01,-0.12,-0.18,-0.79,9.77
4,57080,-0.14,-0.80,9.64,0.03,0.00,-0.15,-0.18,-0.79,9.77
5,57142,-0.14,-0.79,9.61,0.03,0.00,-0.15,-0.18,-0.79,9.77
6,57203,-0.15,-0.78,9.64,0.02,0.00,-0.12,-0.18,-0.79,9.77
7,57264,-0.16,-0.80,9.67,0.02,-0.01,-0.09,-0.18,-0.79,9.77
5,57327,-0.15,-0.77,9.62,0.03,0.01,-0.14,-0.18,-0.79,9.77
7,57389,-0.13,-0.79,9.61,0.05,0.01,-0.15,-0.18,-0.79,9.77
8,57450,-0.14,-0.79,9.64,0.04,0.00,-0.11,-0.18,-0.79,9.77
6,57510,-0.14,-0.80,9.63,0.03,0.00,-0.11,-0.18,-0.79,9.77
6,57572,-0.12,-0.79,9.65,0.05,0.00,-0.11,-0.18,-0.79,9.77
5,57634,-0.14,-0.78,9.65,0.04,0.00,-0.11,-0.18,-0.79,9.77
6,57695,-0.16,-0.80,9.66,0.02,-0.01,-0.10,-0.18,-0.79,9.77
6,57757,-0.15,-0.77,9.63,0.03,0.01,-0.13,-0.18,-0.79,9.77
6,57819,-0.14,-0.78,9.67,0.04,0.01,-0.10,-0.18,-0.79,9.77
7,57881,-0.15,-0.77,9.67,0.03,0.00,-0.13,-0.18,-0.79,9.77
7,57942,-0.16,-0.79,9.64,0.03,0.00,-0.13,-0.18,-0.79,9.77
6,58003,-0.16,-0.79,9.62,0.02,0.00,-0.14,-0.18,-0.79,9.77
8,58064,-0.14,-0.79,9.64,0.04,0.00,-0.12,-0.18,-0.79,9.77
6,58126,-0.13,-0.79,9.65,0.04,0.00,-0.11,-0.18,-0.79,9.77
6,58186,-0.14,-0.78,9.65,0.04,0.01,-0.11,-0.18,-0.79,9.77
5,58248,-0.13,-0.79,9.63,0.03,0.00,-0.12,-0.18,-0.79,9.77
6,58310,-0.15,-0.78,9.64,0.04,0.01,-0.14,-0.18,-0.79,9.77
7,58371,-0.14,-0.77,9.66,0.04,0.00,-0.13,-0.18,-0.79,9.77
6,58433,-0.13,-0.76,9.62,0.04,0.02,-0.14,-0.18,-0.79,9.77
5,58494,-0.16,-0.77,9.61,0.02,0.02,-0.15,-0.18,-0.79,9.77
6,58555,-0.16,-0.79,9.65,0.02,0.00,-0.11,-0.18,-0.79,9.77
7,58615,-0.15,-0.79,9.65,0.02,0.00,-0.11,-0.18,-0.79,9.77
7,58677,-0.14,-0.77,9.64,0.03,0.01,-0.12,-0.18,-0.79,9.77
6,58739,-0.15,-0.79,9.64,0.02,0.01,-0.14,-0.18,-0.79,9.77
6,58800,-0.15,-0.78,9.62,0.03,0.00,-0.13,-0.18,-0.79,9.77
6,58861,-0.14,-0.79,9.64,0.02,0.00,-0.11,-0.18,-0.79,9.77
7,58924,-0.15,-0.79,9.64,0.02,0.00,-0.12,-0.18,-0.79,9.77
7,58985,-0.13,-0.79,9.62,0.04,0.00,-0.14,-0.18,-0.79,9.77
7,59046,-0.13,-0.78,9.61,0.04,0.01,-0.15,-0.18,-0.79,9.77
7,59107,-0.14,-0.79,9.65,0.03,0.00,-0.11,-0.18,-0.79,9.77
5,59168,-0.14,-0.77,9.61,0.03,0.02,-0.15,-0.18,-0.79,9.77
6,59230,-0.14,-0.79,9.64,0.05,0.01,-0.12,-0.18,-0.79,9.77
5,59292,-0.15,-0.79,9.65,0.02,0.00,-0.13,-0.18,-0.79,9.77
7,59353,-0.14,-0.79,9.63,0.04,0.00,-0.13,-0.18,-0.79,9.77
7,59414,-0.14,-0.79,9.67,0.03,0.00,-0.09,-0.18,-0.79,9.77
7,59475,-0.14,-0.79,9.63,0.04,0.00,-0.13,-0.18,-0.79,9.77
6,59537,-0.13,-0.77,9.62,0.04,0.01,-0.14,-0.18,-0.79,9.77
7,59597,-0.13,-0.78,9.61,0.04,0.01,-0.15,-0.18,-0.79,9.77
7,59660,-0.14,-0.79,9.62,0.07,0.00,-0.13,-0.18,-0.79,9.77
7,59719,-0.16,-0.77,9.65,0.03,0.02,-0.11,-0.18,-0.79,9.77
6,59783,-0.13,-0.80,9.64,0.02,0.00,-0.13,-0.18,-0.79,9.77
6,59844,-0.13,-0.77,9.62,0.04,0.02,-0.14,-0.18,-0.79,9.77
7,59905,-0.14,-0.79,9.62,0.03,0.00,-0.14,-0.18,-0.79,9.77
